TotalBill,Nights,Age,Gender,Spa
1269,4,45,M,0
1454,5,57,F,0
139,0,58,F,1
1591,6,29,F,0
,2,30,M,0
308,1,41,F,0
136,0,63,F,1
1774,5,31,M,0
878,1,65,M,1
902,2,46,M,0
1224,4,24,M,0
1480,4,68,F,1
2476,6,57,F,1
1732,6,37,M,0
1735,6,45,M,0
1893,8,61,F,0
,6,63,F,0
1308,4,57,F,0
1378,4,62,F,0
2521,9,52,M,0
2290,8,54,M,0
340,0,59,M,1
3261,13,59,M,0
1422,4,59,M,0
926,4,39,M,0
1,0,38,M,0
,7,42,M,0
370,1,28,F,0
2148,6,35,M,0
,3,38,M,0
,15,52,M,0
1504,4,40,M,0
699,3,43,F,0
2973,10,16,M,0
1158,4,43,M,0
2731,6,25,M,0
1033,4,33,M,0
745,4,62,M,0
2548,9,43,M,0
,5,50,M,0
2,0,14,M,0
128,0,47,M,1
131,0,8,M,0
2201,4,46,M,0
698,3,49,M,0
1441,5,49,F,0
69,0,57,M,0
,10,43,F,0
,4,27,M,0
,13,53,M,1
1704,6,42,M,0
,7,36,M,0
246,0,28,M,0
1883,6,45,M,0
1336,4,52,F,0
977,6,65,F,0
,5,53,M,0
1114,2,22,M,0
934,4,55,M,0
1010,4,51,M,0
142,0,36,F,0
474,0,56,F,1
2578,6,45,M,0
1995,7,33,M,0
1011,4,57,F,0
879,4,56,M,0
1329,6,42,F,0
1934,4,60,F,1
606,6,66,F,0
1992,4,50,F,1
1519,12,61,F,0
546,1,62,F,1
2066,10,56,F,0
950,6,56,F,0
905,6,65,F,0
1456,,9979,F,0
843,5,44,M,0
582,3,35,M,0
577,4,51,F,0
1306,8,48,F,0
638,2,30,M,0
1777,8,67,F,0
1417,6,46,F,0
1915,8,61,M,1
1484,8,49,F,0
1346,6,54,M,0
1355,4,56,F,0
315,0,39,F,1
840,2,57,M,
933,1,39,F,1
752,2,18,M,0
2841,17,49,M,0
1034,6,49,M,0
3202,6,51,M,1
1371,4,33,M,0
1511,6,40,M,0
604,0,58,F,1
1008,2,16,M,0
626,1,13,M,0
239,0,40,M,0
868,4,52,F,0
1110,3,39,F,0
706,0,52,M,0
1929,10,74,M,1
1598,6,63,M,0
673,2,37,M,0
2878,17,754,F,0
1304,4,39,M,0
4763,13,29,F,0
986,4,57,M,0
1483,4,44,M,0
1515,4,40,F,0
1484,3,8,M,0
2283,8,45,F,0
502,0,63,M,1
1135,4,42,M,0
1603,5,39,M,0
1249,2,40,M,0
1408,6,52,M,0
1243,4,52,F,0
1086,4,31,F,0
329,0,62,F,0
1232,4,42,M,0
558,2,50,M,0
1276,4,59,F,0
1318,3,29,M,0
1040,3,40,M,0
1819,6,31,F,0
1288,6,63,M,0
883,3,36,F,0
2444,14,53,M,0
882,4,39,M,0
559,4,65,F,0
438,3,37,M,0
2070,14,50,F,0
1875,7,69,F,0
530,2,49,M,0
759,5,54,F,0
719,3,54,F,0
1122,6,42,M,0
752,1,62,F,1
964,2,22,F,0
707,2,33,F,0
2006,8,55,F,0
1533,4,44,F,0
1032,2,46,M,0
423,3,56,F,0
2309,4,33,M,1
641,2,49,M,0
2591,8,45,M,0
744,4,61,F,0
1209,2,61,F,1
1139,4,60,F,0
3341,12,58,F,0
1132,6,42,M,0
1183,6,40,M,0
1571,7,48,F,0
1866,9,37,F,0
2103,4,47,M,0
1266,6,59,M,0
536,0,46,M,1
1603,4,22,M,0
1259,4,47,M,0
1908,5,27,M,0
1414,6,53,M,0
263,0,74,M,1
866,4,55,F,0
,10,49,F,0
1711,6,49,M,0
1779,3,58,F,0
1243,4,44,M,0
1291,4,21,M,0
1187,5,52,M,0
1309,4,57,F,0
990,4,53,M,0
763,3,48,F,0
3137,6,56,F,1
1441,6,41,M,0
961,4,65,M,0
1083,1,54,F,1
938,4,20,M,0
1948,6,41,M,0
1413,4,49,F,0
1089,5,70,M,0
504,0,64,M,1
1317,4,42,M,0
1358,4,50,M,0
1828,7,32,M,0
1288,6,34,M,0
699,2,55,M,1
892,3,51,M,0
1974,5,29,M,0
1612,8,57,F,0
1007,4,43,F,0
1663,6,23,M,0
1563,6,30,M,0
2252,6,31,M,1
2025,7,27,M,1
1160,4,44,M,0
1412,6,43,M,0
1522,3,33,M,1
1192,5,60,F,0
1164,4,47,F,0
1438,7,61,M,0
1187,4,28,M,0
1371,4,33,M,0
,4,37,M,0
913,5,45,F,0
1859,7,59,M,0
1036,3,41,F,0
897,4,36,F,0
2683,6,43,M,0
1459,8,63,F,0
1737,2,38,M,0
870,4,52,F,0
4097,7,24,M,1
1095,2,59,M,1
2149,4,42,F,0
1731,5,26,M,0
759,2,64,M,0
1327,4,42,M,0
616,2,43,F,0
1928,6,17,M,0
202,2,54,F,0
910,4,28,M,0
968,4,43,M,0
711,4,34,M,0
546,4,53,F,0
1521,6,55,F,0
493,1,62,F,1
989,2,63,F,1
660,5,36,F,0
374,0,47,M,1
943,6,22,M,0
854,4,43,F,0
1380,8,45,F,0
605,4,46,M,0
464,3,67,M,0
718,4,47,M,0
1682,8,33,M,0
768,5,19,M,0
,0,43,M,0
1563,10,48,F,0
399,4,56,F,0
972,7,38,F,0
462,4,55,M,0
599,4,30,F,0
875,6,38,M,0
649,4,43,M,0
764,4,45,F,0
632,4,35,F,0
948,6,52,M,0
674,4,53,M,0
643,4,41,M,0
1316,12,57,M,0
843,5,25,M,0
773,3,17,M,0
621,4,43,F,0
489,4,27,F,0
226,2,49,M,0
916,6,40,M,0
1230,6,44,F,0
657,3,48,F,0
388,2,34,M,0
731,5,59,F,0
723,4,44,M,0
757,4,56,F,0
804,4,35,M,0
815,5,64,F,0
906,5,47,F,0
697,4,38,M,0
928,6,28,M,0
531,3,52,M,0
691,4,36,M,0
336,0,52,F,1
1024,5,46,M,0
1424,12,44,M,0
642,2,26,M,0
787,4,43,M,0
581,4,47,M,0
342,1,48,F,0
602,0,47,F,1
676,4,22,M,0
476,3,61,M,0
761,3,57,F,1
308,0,71,M,1
598,4,47,M,0
1403,10,60,M,0
652,4,50,M,0
856,3,27,F,0
483,2,36,M,0
860,4,43,M,0
1014,6,36,F,0
1730,12,47,M,1
489,2,50,M,0
946,5,27,M,0
,6,43,M,0
704,4,59,M,0
354,0,61,M,1
820,4,41,M,0
419,2,23,F,0
747,4,44,M,0
619,3,33,M,0
296,2,59,M,0
866,4,25,M,0
458,1,59,F,1
1126,4,51,M,0
2011,11,48,F,1
1037,6,31,M,0
689,6,39,M,0
1142,8,64,F,0
1488,2,44,F,1
1200,8,61,F,0
1482,4,28,F,0
249,0,42,M,0
514,3,17,M,0
5002,10,40,M,0
1146,3,51,M,0
671,3,33,M,0
616,2,67,F,1
248,2,50,F,0
617,3,32,F,0
468,0,31,M,1
1870,19,63,F,1
670,4,31,M,0
985,4,34,M,0
703,2,58,F,0
928,4,48,M,0
562,3,58,F,0
1010,5,56,M,0
1084,6,46,F,0
1095,2,38,M,0
386,0,36,M,0
807,4,43,M,0
1103,7,72,M,0
649,2,31,M,0
886,4,43,M,0
1064,7,49,M,0
774,4,58,M,0
1236,8,45,F,0
396,1,27,M,0
677,4,26,M,0
633,2,32,M,0
671,2,61,M,0
802,4,57,F,0
837,1,25,M,0
719,2,19,M,0
1065,5,51,F,0
603,1,64,F,1
1046,2,57,M,0
1458,8,44,F,0
857,5,38,M,0
986,6,67,M,0
513,2,43,F,0
1467,6,46,F,0
744,2,58,F,0
470,1,29,M,0
1132,7,61,F,0
938,2,43,M,0
1225,6,53,F,0
654,3,44,M,0
1552,5,42,M,0
672,3,49,F,0
1093,2,45,M,0
723,2,46,F,0
1212,6,62,M,0
548,0,65,F,1
887,4,49,M,0
838,4,39,M,0
1181,8,63,M,0
780,4,66,F,0
1292,4,58,F,0
723,2,36,F,1
1022,5,39,M,0
704,3,60,F,0
1410,12,62,M,0
1099,1,58,M,1
2833,14,60,F,0
582,2,35,F,0
723,2,46,F,1
391,0,42,F,0
,0,49,M,0
2713,16,57,F,0
747,4,54,F,0
,5,67,F,0
,0,50,F,1
752,4,29,M,0
,3,49,M,0
663,3,53,M,0
,4,52,F,1
,2,53,F,1
,7,56,F,1
1336,8,46,F,0
,0,34,M,1
,4,48,F,0
,2,30,F,0
,3,60,M,0
,4,57,F,1
924,5,48,F,0
1152,6,49,M,0
,2,40,F,1
,6,46,F,0
,2,54,F,1
,2,15,M,0
368,2,43,F,0
796,4,31,F,0
775,2,26,M,0
,6,53,F,0
134,0,42,F,1
1104,3,39,M,0
766,0,21,M,0
1076,5,49,M,0
1348,8,65,M,0
1717,4,39,F,1
1084,3,16,M,0
1579,3,49,M,0
836,5,47,M,0
1272,4,45,F,0
1881,3,45,F,1
546,2,53,F,0
748,4,31,M,0
854,5,59,M,0
413,2,14,M,0
951,3,24,M,0
1922,2,45,M,0
808,4,38,M,0
762,4,52,M,0
330,0,15,M,0
1885,2,24,M,0
2011,6,47,F,0
567,0,60,F,1
1885,2,24,M,0
524,2,46,M,0
1569,4,44,M,1
579,3,61,M,0
1073,4,30,M,0
841,2,30,M,0
220,2,30,M,0
608,4,55,F,0
839,6,57,F,0
2233,4,36,F,0
297,0,16,M,0
412,2,49,F,0
753,4,59,F,0
692,4,56,M,0
592,3,43,F,0
477,3,48,F,0
691,2,62,M,1
748,3,42,M,0
2054,4,24,M,0
2100,4,24,F,0
597,4,60,M,0
2374,18,74,F,0
1171,6,57,F,0
1768,2,58,M,0
1121,4,42,M,0
1734,2,26,M,0
510,2,27,M,0
417,1,47,F,0
688,2,51,M,0
1904,2,36,M,0
1116,6,68,F,0
2162,6,53,F,0
699,3,41,M,0
3082,8,53,F,0
1826,2,53,F,0
982,4,64,F,0
648,4,65,F,0
817,6,64,F,0
679,4,48,M,0
1737,1,36,M,0
2091,3,30,M,0
1767,7,55,M,0
940,6,67,M,0
1976,2,48,M,0
1702,1,25,M,0
889,6,62,F,0
2318,17,69,F,0
448,0,50,M,1
456,0,66,M,1
1221,6,42,F,0
598,5,55,F,0
548,2,51,F,0
250,0,7,M,0
377,2,42,M,0
1050,5,52,F,0
568,2,8,F,0
647,4,57,F,0
525,2,31,F,0
1311,3,38,F,0
866,2,42,M,0
717,4,20,M,0
480,0,49,M,1
998,4,53,F,0
1010,3,46,M,0
1245,5,51,M,0
1025,7,55,F,0
806,4,63,F,0
1083,4,57,M,0
713,4,59,F,0
2405,9,53,F,1
804,2,29,M,0
838,2,40,F,0
1623,10,52,F,0
642,2,44,F,0
412,2,46,M,0
330,0,51,F,1
1219,6,31,M,0
726,4,44,M,0
603,4,41,M,0
446,2,31,M,0
1355,11,71,M,0
620,2,57,F,1
162,0,57,F,0
1192,9,52,F,0
1042,6,40,F,0
415,1,32,M,0
356,0,45,M,1
427,2,69,F,1
756,4,51,M,0
850,3,36,M,0
753,4,38,M,0
